CÓDIGO,NOMBRE,OBSERVACIONES,,,,
52245304,CABLE VGA PARA BANDA,,,,,
52245305,CABLE VGA PARA BANDA,,,,,
52245306,CABLE VGA PARA BANDA,,,,,
52245307,CABLE VGA PARA BANDA,,,,,
52245308,CABLE VGA PARA BANDA,,,,,
52246101,CONTROL,,,,,
52246102,CONTROL,,,,,
52246103,CONTROL,,,,,
52246104,CONTROL,,,,,
52265101,MANUAL TECLADO MICROSOFT Y TECLADO USB,,,,,
52265102,INSTRUCITVO CARROS DE METAL,,,,,
52265103,MANUALES CRONOMETRO SPORTLINE Y EXTECH,,,,,
52265104,DOCUMENTOS CAMARA TERMOGRAFICA,,,,,
52265105,MANUAL MEDIDORES SONIDO Y LUMINICIDAD,,,,,
52265106,INSTRUCTIVO RESPIRADOR,,,,,
52265107,MANUEAL SECA BASCULA Y CINTA METRICA,,,,,
52265108,MANUAL MEDIDOR ALTURAS Y MICROMETRO,,,,,
52265109,MANUAL TALADRO COLUMNA DE BANCO,,,,,
52265110,PROGRAMA DE CAPACITACION,,,,,
52265111,"MANUAL SIERRA CORTADORA DE 16""",,,,,
52311301,CRONÓMETRO CONTROL COMPANY,,,,,
52311302,CRONÓMETRO CONTROL COMPANY,,,,,
52311303,CRONÓMETRO CONTROL COMPANY,,,,,
52311304,CRONÓMETRO CONTROL COMPANY,,,,,
52311305,CRONÓMETRO CONTROL COMPANY,,,,,
52313201,ANTROPÓMETRO CHICO,,,,,
52313202,ANTROPÓMETRO CHICO,,,,,
52313203,ANTROPÓMETRO CHICO,,,,,
52331101,DESARMADOR KIT HERRAMIENTA (PLANO) LARGO,,,,,
52331102,DESARMADOR KIT HERRAMIENTA (PLANO) MEDIANO,,,,,
52331201,DESARMADOR KIT HERRAMIENTA (CRUZ) LARGO,,,,,
52331202,DESARMADOR KIT HERRAMIENTA (CRUZ) MEDIANO,,,,,
52331301,DESARMADOR KIT HERRAMIENTA TIPO EXTENSIBLE,,,,,
52331807,DESARMADOR PUNTAS INTERCAMBIABLES,,,,,
52331808,DESARMADOR PUNTAS INTERCAMBIABLES,,,,,
52331809,DESARMADOR PUNTAS INTERCAMBIABLES,,,,,
52331810,DESARMADOR PUNTAS INTERCAMBIABLES,,,,,
52332101,JUEGO DE PUNTAS PLANAS (KIT HERRAMIENTA),,,,,
52332201,JUEGO DE PUNTAS ESTRELLA (KIT HERRAMIENTA),,,,,
52332301,JUEGO DE PUNTAS HEXÁGONO (KIT HERRAMIENTA),,,,,
52332401,JUEGO DE PUNTAS CRUZ (KIT HERRAMIENTA),,,,,
52333101,"LLAVE 5/16"" SAE ",,,,,
52333102,"LLAVE 3/8"" SAE ",,,,,
52333103,"LLAVE 7/16"" SAE",,,,,
52333104,"LLAVE 1/2"" SAE",,,,,
52333105,"LLAVE 9/16"" SAE",,,,,
52333106,"LLAVE 5/8"" SAE",,,,,
52333107,LLAVE 8mm METRIC,,,,,
52333108,LLAVE 10 mm METRIC,,,,,
52333109,LLAVE 12 mm METRIC,,,,,
52333110,LLAVE 13 mm METRIC,,,,,
52333111,LLAVE 14 mm METRIC,,,,,
52333112,LLAVE 15 mm METRIC,,,,,
52333201,"DADO 3/4"" (LARGO)",,,,,
52333202,"DADO 11/16"" (LARGO)",,,,,
52333203,"DADO 9/16"" (LARGO)",,,,,
52333204,"DADO 1/2"" (LARGO)",,,,,
52333205,"DADO 7/16"" (LARGO)",,,,,
52333206,"DADO 7/8"" (ANCHO)",,,,,
52333207,"DADO 3/4"" (ANCHO)",,,,,
52333208,"DADO 5/8"" (ANCHO)",,,,,
52333209,"DADO 9/16"" (ANCHO)",,,,,
52333210,"DADO 1/2"" (ANCHO)",,,,,
52333211,"DADO 3/4"" (MEDIANO)",,,,,
52333212,"DADO 11/16""( MEDIANO)",,,,,
52333213,"DADO 5/8"" (MEDIANO)",,,,,
52333214,"DADO 9/16"" (MEDIANO)",,,,,
52333215,"DADO 1/2"" (MEDIANO)",,,,,
52333216,"DADO 7/16"" (PEQUEÑO)",,,,,
52333217,"DADO 3/8"" (PEQUEÑO)",,,,,
52333218,"DADO 5/16"" (PEQUEÑO)",,,,,
52333219,"DADO 9/16"" (PEQUEÑO)",,,,,
52333220,"DADO 1/2"" (PEQUEÑO)",,,,,
52333221,"DADO 7/16"" (PEQUEÑO)",,,,,
52333222,"DADO 3/8"" (MINI)",,,,,
52333223,"DADO 11/32"" (MINI)",,,,,
52333224,"DADO 5/16"" (MINI)",,,,,
52333225,"DADO 9/32"" (MINI)",,,,,
52333226,"DADO 1/4"" (MINI)",,,,,
52333227,"DADO 7/32"" (MINI)",,,,,
52333228,"DADO 3/16"" (MINI)",,,,,
52333229,DADO 17mm (LARGO),,,,,
52333230,DADO 15mm (LARGO),,,,,
52333231,DADO 14 mm (LARGO),,,,,
52333232,DADO 13mm (LARGO),,,,,
52333233,DADO 12mm (LARGO),,,,,
52333234,DADO 21mm (ANCHO),,,,,
52333235,DADO 19mm (ANCHO),,,,,
52333236,DADO 18mm (ANCHO),,,,,
52333237,DADO 17mm (ANCHO),,,,,
52333238,DADO 15mm (ANCHO),,,,,
52333239,DADO 19mm (MEDIANO),,,,,
52333240,DADO 17mm (MEDIANO),,,,,
52333241,DADO 15mm (MEDIANO),,,,,
52333242,DADO 14mm (MEDIANO),,,,,
52333243,DADO 13mm (MEDIANO),,,,,
52333244,DADO 12mm (PEQUEÑO),,,,,
52333245,DADO 10mm (PEQUEÑO),,,,,
52333246,DADO 9mm (PEQUEÑO),,,,,
52333247,DADO 13mm (PEQUEÑO),,,,,
52333248,DADO 12mm (PEQUEÑO),,,,,
52333249,DADO 11mm (PEQUEÑO),,,,,
52333250,DADO 10mm (MINI),,,,,
52333251,DADO 9mm (MINI),,,,,
52333252,DADO 8mm (MINI),,,,,
52333253,DADO 7mm (MINI),,,,,
52333254,DADO 6mm (MINI),,,,,
52333255,DADO 5mm (MINI),,,,,
52333256,DADO 4mm (MINI),,,,,
52333301,"MATRACA 1/2""",,,,,
52333302,"MATRACA 3/8""",,,,,
52333303,"MATRACA 1/4""",,,,,
52333401,PINZAS DE PUNTA,,,,,
52333402,PINZAS DE CORTE,,,,,
52333501,"EXTENSIÓN 1/4"" DR 3"" EXT",,,,,
52333502,"EXTENSIÓN 3/8"" DR 3"" EXT",,,,,
52333503,"EXTENSIÓN 3/8"" DR 6"" EXT",,,,,
52333504,"EXTENSIÓN 1/2"" DR 5"" EXT",,,,,
52333601,"ADAPTADOR 5/8"" SPARK PLUG SOCKET",,,,,
52333602,"ADAPTADOR 13/16"" SPARK PLUG SOCKET",,,,,
